Rank,Movie,Gross,Year
187,American Sniper,"$547,426,372",2014
188,Mission: Impossible II,"$546,388,108",2000
189,Detective Chinatown 2,"$544,185,156",2018
190,X-Men: Apocalypse,"$543,934,105",2016
191,Sherlock Holmes: A Game of Shadows,"$543,848,418",2011
192,Despicable Me,"$543,113,985",2010
193,Cinderella,"$542,358,331",2015
194,Madagascar,"$542,063,846",2005
195,World War Z,"$540,455,876",2013
196,Brave,"$538,983,207",2012
197,Star Wars: Episode V - The Empire Strikes Back,"$538,375,067",1980
198,The Simpsons Movie,"$536,414,293",2007
199,The Revenant,"$532,950,503",2015
200,The Meg,"$530,259,473",2018
